"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.218070500E0,-2.131567383E-1,7.467072144E0,5.480253754E0,9.264760299E0
1.228048500E0,-2.966830444E-1,7.517966309E0,5.781726837E0,9.488740879E0
1.238025500E0,-3.490740967E-1,7.507787476E0,5.979914703E0,9.604587725E0
1.248003500E0,-4.487667847E-1,7.474257202E0,6.006409607E0,9.599107704E0
1.257980500E0,-6.472540283E-1,7.454498291E0,5.799988861E0,9.467225218E0
1.267958500E0,-9.752220154E-1,7.433691559E0,5.466632080E0,9.278733452E0
1.277935500E0,-1.482517090E0,7.399861908E0,5.146896973E0,9.134898008E0
1.287913500E0,-2.094893646E0,7.500752106E0,5.108277283E0,9.313665140E0
1.297890500E0,-2.675386505E0,8.559350739E0,6.069278870E0,1.082849593E1
1.307868500E0,-2.462678833E0,1.073238190E1,6.985074463E0,1.303994147E1
1.317845500E0,-1.869911499E0,1.313219147E1,6.627767487E0,1.482829470E1
1.327823500E0,-1.531165924E0,1.554457489E1,5.969137115E0,1.672150937E1
1.337801500E0,-1.515149231E0,1.728964600E1,6.488257599E0,1.852903188E1
1.347778500E0,-6.765930176E-1,1.804377777E1,6.934030609E0,1.934209076E1
1.357756500E0,-8.906478882E-2,1.544428345E1,5.623655548E0,1.643652413E1
1.367733500E0,-3.240760803E-1,1.076980408E1,3.311862946E0,1.127218441E1
1.377711500E0,-8.613088989E-1,7.398365021E0,6.481521606E-2,7.448614570E0
1.387688500E0,-1.183588715E0,5.816155243E0,-2.692750397E0,6.517626006E0
1.397666500E0,-1.485361176E0,6.171366577E0,-2.725981293E0,6.908186250E0
1.407643500E0,-1.672172699E0,7.485334167E0,-9.232800293E-1,7.725207774E0
1.417621500E0,-3.329077148E-1,8.456065521E0,5.852828979E-2,8.462818514E0
1.427602833E0,1.507215729E0,8.943751373E0,-3.848497009E-1,9.078022757E0
1.437580833E0,1.345701599E0,7.645351410E0,-1.486858063E0,7.903989997E0
1.447557833E0,1.361269226E0,6.635850677E0,-2.475252686E0,7.212103991E0
1.457535833E0,1.377136230E0,6.140830078E0,-3.180735626E0,7.051480509E0
1.467513833E0,1.250649261E0,6.029611359E0,-3.304378510E0,6.988508714E0
1.477490833E0,1.226848755E0,6.148913269E0,-3.205883331E0,7.042157354E0
1.487468833E0,1.501078491E0,6.492748260E0,-2.727927246E0,7.200736328E0
1.497445833E0,2.050286407E0,7.543413391E0,-1.138981476E0,7.899622696E0
1.507423833E0,2.856060791E0,9.370663605E0,1.024319916E0,9.849652325E0
1.517400833E0,3.541635132E0,1.133697464E1,2.267185364E0,1.209174524E1
1.527378833E0,3.953877869E0,1.317006271E1,1.512604523E0,1.383371514E1
1.537355833E0,4.061054993E0,1.430694855E1,2.061213684E-1,1.487358163E1
1.547333833E0,3.248694305E0,1.379022308E1,-7.496411133E-1,1.418753781E1
1.557310833E0,2.831960907E0,1.290107208E1,-7.936495972E-1,1.323206496E1
1.567288833E0,3.269201660E0,1.198856964E1,1.074765015E-1,1.242678690E1
1.577266833E0,4.351301422E0,1.041773621E1,1.046623535E0,1.133836287E1
1.587243833E0,5.613177338E0,9.248517609E0,1.116378479E0,1.087608104E1
1.597221833E0,5.653293915E0,8.673862610E0,4.089495850E-1,1.036160530E1
1.607198833E0,4.691394196E0,7.798932037E0,-1.655557251E-1,9.102742945E0
1.617176833E0,4.697232056E0,7.616910553E0,-3.698808289E-1,8.956457290E0
1.627153833E0,4.600832520E0,7.644153900E0,-3.245251465E-1,8.927825339E0
1.637131833E0,4.547243958E0,7.773185577E0,-3.017724609E-1,9.010599772E0
1.647108833E0,4.453838196E0,8.015232239E0,-3.546125793E-1,9.176403032E0
1.657086833E0,4.275109863E0,8.207731934E0,-3.156935120E-1,9.259756489E0
1.667063833E0,3.667523346E0,8.210426331E0,-1.977388000E-1,8.994494352E0
1.677041833E0,3.395688629E0,9.101672974E0,1.948947144E-1,9.716436391E0
1.687018833E0,2.981050873E0,9.421857147E0,4.408332825E-1,9.892036716E0
1.696996833E0,2.519560547E0,9.470356293E0,5.941145325E-1,9.817780082E0
1.706974833E0,2.221829681E0,9.502389679E0,6.053411865E-1,9.777442135E0
1.716951833E0,1.981728973E0,9.553134155E0,3.820056152E-1,9.763992534E0
1.726929833E0,1.731898499E0,9.505982208E0,1.484912109E-1,9.663602837E0
1.736906833E0,1.535955963E0,9.400002594E0,-1.667532349E-1,9.526122828E0
1.746884833E0,1.458716583E0,9.334888000E0,-6.756948853E-1,9.472304452E0
1.756861833E0,1.530567169E0,9.228758698E0,-1.024469604E0,9.410747097E0
1.766839833E0,1.339564362E0,8.651409302E0,-1.371897125E0,8.861343990E0
1.776816833E0,1.786983948E0,9.347461853E0,-1.638642426E0,9.656785372E0
1.786794833E0,1.976040802E0,9.612859955E0,-1.484463043E0,9.925494662E0
1.796771833E0,2.080523529E0,9.690398712E0,-6.812333679E-1,9.934610423E0
1.806749833E0,2.576741638E0,9.894723816E0,-3.023712158E-2,1.022477732E1
1.816727833E0,2.796784058E0,9.652976532E0,-7.110214233E-2,1.005022450E1
1.826704833E0,3.734434204E0,1.060140427E1,-8.996292114E-2,1.124027867E1
1.836682833E0,3.987408142E0,1.038106247E1,-4.071533203E-2,1.112059079E1
1.846659833E0,3.498075714E0,9.381590881E0,-4.520599365E-2,1.001263326E1
1.856637833E0,4.855003967E0,1.075797867E1,-1.592687988E-1,1.180383561E1
1.866614833E0,5.313500519E0,1.091829529E1,-3.215313721E-1,1.214684495E1
1.876592833E0,4.165537720E0,9.281449127E0,-7.147636414E-1,1.019842583E1
1.886569833E0,4.554129639E0,9.432485046E0,-9.367520142E-1,1.051614831E1
1.896547833E0,5.504353638E0,1.009276199E1,-1.005908203E-1,1.149660263E1
1.906524833E0,6.589297485E0,1.088895630E1,1.266516266E0,1.279031955E1
1.916502833E0,6.737339630E0,1.051563263E1,2.349514160E0,1.270789092E1
1.926479833E0,6.347550201E0,9.753417664E0,1.799707489E0,1.177537671E1
1.936457833E0,6.209237823E0,1.008393036E1,-1.203497314E-1,1.184292067E1
1.946435833E0,6.527775421E0,1.123204285E1,-1.504371643E0,1.307798809E1
1.956412833E0,6.794520721E0,1.218241653E1,-1.748663635E0,1.405825768E1
1.966390833E0,6.893015900E0,1.234108658E1,-1.130149841E0,1.418073781E1
1.976367833E0,7.951764221E0,1.333322342E1,1.766326904E-1,1.552535346E1
1.986345833E0,7.976462860E0,1.321646622E1,1.855691071E0,1.554807153E1
1.996322833E0,7.138655090E0,1.248119522E1,2.100881195E0,1.453115042E1
2.006300833E0,5.326972504E0,1.144415176E1,1.447040863E0,1.270587159E1
2.016277833E0,3.498973846E0,1.038121216E1,1.114282837E0,1.101153986E1
2.026255833E0,2.217488708E0,9.842332764E0,5.739065552E-1,1.010535200E1
2.036232833E0,1.391057281E0,1.020442978E1,2.104623413E-1,1.030095733E1
2.046210833E0,1.109343109E0,1.088656128E1,-1.360670471E-1,1.094378238E1
2.056188833E0,1.325942688E0,1.168515060E1,-8.939410400E-1,1.179406627E1
2.066165833E0,1.733994141E0,1.232731522E1,-2.052531738E0,1.261674771E1
2.076143833E0,2.119741974E0,1.261995667E1,-2.786006470E0,1.309650504E1
2.086120833E0,2.433190155E0,1.270468048E1,-2.482138367E0,1.317157285E1
2.096098833E0,2.774181061E0,1.297337173E1,-1.779948578E0,1.338553965E1
2.106075833E0,3.067720642E0,1.278341675E1,-1.332528992E0,1.321371587E1
2.116053833E0,3.509002991E0,1.245514938E1,-1.246457977E0,1.299990406E1
2.126030833E0,3.884571991E0,1.208631638E1,-2.055675201E0,1.286058877E1
2.136008833E0,4.454736328E0,1.151839737E1,-2.352208557E0,1.257183514E1
2.145985833E0,5.001549225E0,1.068837341E1,-1.400936737E0,1.188357878E1
2.155963833E0,5.147046661E0,9.519753571E0,-3.276686096E-1,1.082705704E1
2.165941833E0,4.914879456E0,8.518036652E0,-2.487826538E-1,9.837422491E0
2.175918833E0,4.457879791E0,8.032296753E0,-5.908213806E-1,9.205408913E0
2.185896833E0,3.902384949E0,8.001311188E0,-9.214837646E-1,8.949788899E0
2.195873833E0,3.241060181E0,7.980953522E0,-9.312135315E-1,8.664135782E0
2.205851833E0,2.698288879E0,7.861352234E0,-1.087338867E0,8.382358119E0
2.215828833E0,1.892963562E0,7.953111420E0,-1.241817627E0,8.269063025E0
2.225806833E0,1.403930511E0,7.753276978E0,-1.480122070E0,8.017174447E0
2.235783833E0,9.735754395E-1,7.481292572E0,-1.680555267E0,7.729285458E0
2.245761833E0,6.746470642E-1,7.076534271E0,-1.842668152E0,7.343562614E0
2.255738833E0,1.657054138E-1,6.601721649E0,-1.805395660E0,6.846140556E0
2.265716833E0,-4.981640625E-1,6.332132263E0,-1.601070557E0,6.550381161E0
2.275693833E0,-1.195114746E0,6.337371368E0,-1.040037231E0,6.532400214E0
2.285671833E0,-1.723964996E0,6.387217712E0,-2.836601257E-1,6.621862916E0
2.295649833E0,-2.076032867E0,6.371500397E0,5.942642212E-2,6.701452176E0
2.305626833E0,-2.105970612E0,6.412814484E0,5.029541016E-1,6.768475799E0
2.315604833E0,-1.751807098E0,6.394552460E0,1.274300079E0,6.751516123E0
2.325581833E0,-9.886940002E-1,6.409970398E0,2.066303101E0,6.806970312E0
2.335559833E0,-1.231938171E-1,6.467450867E0,2.554138641E0,6.954618726E0
2.345536833E0,5.625302124E-1,6.558012543E0,2.910697174E0,7.196952604E0
2.355514833E0,1.072968750E0,6.784940643E0,3.311413879E0,7.625755264E0
2.365491833E0,1.580563202E0,7.104376373E0,3.757935333E0,8.190996378E0
2.375469833E0,2.361489258E0,7.519463196E0,4.080664215E0,8.875290345E0
2.385446833E0,3.439547424E0,7.993227997E0,4.454586639E0,9.775761987E0
2.395424833E0,4.575834503E0,8.615933075E0,4.847519531E0,1.089362244E1
2.405402833E0,5.725294189E0,9.591903534E0,4.915777588E0,1.220444494E1
2.415379833E0,6.543043671E0,1.060349991E1,5.285059662E0,1.353430776E1
2.425353458E0,7.120393066E0,1.122650436E1,6.359076233E0,1.473676519E1
2.435330458E0,7.307503967E0,1.146585663E1,7.412735138E0,1.548593312E1
2.445308458E0,6.668482819E0,1.130045059E1,7.843688965E0,1.528699785E1
