"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.153571917E0,-1.486797953E1,-1.416689136E1,8.250792584E0,2.213217577E1
3.163538917E0,-1.385090198E1,-1.345423155E1,9.758134612E0,2.163527266E1
3.173506917E0,-1.280181209E1,-1.281198624E1,1.054909741E1,2.095988646E1
3.183473917E0,-1.241579294E1,-1.210317390E1,1.025358615E1,2.014385171E1
3.193440917E0,-1.326917887E1,-1.196341843E1,8.926803803E0,1.997203831E1
3.203407917E0,-1.410822742E1,-1.238281699E1,7.137611947E0,2.008287185E1
3.213375917E0,-1.430191994E1,-1.248815341E1,5.522641389E0,1.977368093E1
3.223342917E0,-1.389162199E1,-1.256548050E1,4.324545440E0,1.922420752E1
3.233309917E0,-1.305554266E1,-1.293070577E1,3.617468841E0,1.872795842E1
3.243276917E0,-1.221920254E1,-1.338238330E1,3.436398114E0,1.844467201E1
3.253244917E0,-1.121543442E1,-1.374041650E1,3.360193984E0,1.805203363E1
