"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.482144292E0,2.969430116E1,-2.760467469E1,8.620162951E0,4.144968993E1
2.492111292E0,3.000050114E1,-3.003187262E1,8.926714926E0,4.337775560E1
2.502079292E0,2.969506130E1,-3.216619287E1,8.599897671E0,4.461411065E1
2.512046292E0,2.950454498E1,-3.421987300E1,8.144279119E0,4.591129671E1
2.522013292E0,2.978121184E1,-3.631430589E1,7.563599149E0,4.756950097E1
2.531980292E0,3.084709376E1,-3.831332859E1,6.413856457E0,4.960435360E1
2.541947292E0,3.217933741E1,-3.981757861E1,5.601833739E0,5.150077537E1
2.551914292E0,3.278853074E1,-4.143286491E1,4.875791988E0,5.306169419E1
2.561882292E0,3.273438787E1,-4.264649896E1,4.147732363E0,5.392093941E1
2.571849292E0,3.334889281E1,-4.438536266E1,3.503831128E0,5.562810353E1
2.581816292E0,3.243481162E1,-4.532603465E1,3.110324040E0,5.582240175E1
2.591783292E0,2.957850524E1,-4.566884521E1,2.927628372E0,5.448947057E1
2.601750292E0,2.654154096E1,-4.566911652E1,3.097226862E0,5.291232762E1
2.611717292E0,2.393826231E1,-4.514186607E1,3.352802226E0,5.120614961E1
2.621685292E0,2.098443140E1,-4.377735047E1,3.448976644E0,4.866927383E1
2.631652292E0,1.776864522E1,-4.194164284E1,3.462501254E0,4.568167108E1
2.641619292E0,1.460277790E1,-4.024428502E1,3.058422984E0,4.292082886E1
2.651586292E0,1.168494361E1,-3.777398609E1,2.586596535E0,3.962451784E1
2.661553292E0,9.261772077E0,-3.513455295E1,1.886666695E0,3.638374285E1
2.671520292E0,7.952029685E0,-3.242002752E1,1.003998502E0,3.339612213E1
2.681488292E0,7.320214645E0,-2.992948787E1,5.366106749E-1,3.081635504E1
2.691455292E0,6.712142808E0,-2.863602764E1,4.489117956E-1,2.941558195E1
2.701422292E0,5.050707936E0,-2.745991166E1,2.609031279E-2,2.792054942E1
2.711389292E0,2.651333399E0,-2.633662411E1,4.211866379E-2,2.646977734E1
2.721356292E0,3.266196191E-1,-2.497598405E1,4.525417836E-1,2.498221875E1
2.731323292E0,-1.379647025E0,-2.328141651E1,8.377422810E-1,2.333730046E1
2.741291292E0,-2.486611487E0,-2.213941086E1,2.332209910E0,2.240035609E1
2.751258292E0,-3.049204264E0,-2.242305695E1,3.499262699E0,2.289838355E1
2.761225292E0,-4.236390771E0,-2.199387366E1,4.151023761E0,2.277956285E1
2.771192292E0,-5.318104032E0,-2.137697136E1,4.252242572E0,2.243521121E1
2.781159292E0,-5.727212661E0,-2.083339314E1,3.695455495E0,2.192002797E1
2.791126292E0,-4.964370874E0,-1.970899462E1,2.649140693E0,2.049652150E1
2.801094292E0,-3.652208903E0,-1.873611851E1,1.450762177E0,1.914381042E1
2.811061292E0,-2.328430855E0,-1.773892967E1,4.521812662E-1,1.789680653E1
2.821028292E0,-2.376981456E0,-1.684573006E1,-1.187014014E-2,1.701260718E1
2.830995292E0,-3.926732755E0,-1.616645902E1,2.755887754E-1,1.663879733E1
2.840962292E0,-4.918698857E0,-1.570466464E1,8.772267741E-1,1.648027963E1
2.850929292E0,-5.750054224E0,-1.544950384E1,1.178624136E0,1.652693097E1
2.860897292E0,-6.668112105E0,-1.488171932E1,8.017298645E-1,1.632703463E1
2.870864292E0,-6.886700907E0,-1.310515394E1,6.112357646E-1,1.481706173E1
2.880831292E0,-5.854655650E0,-1.184653843E1,9.812405545E-1,1.325067163E1
2.890798292E0,-5.049548433E0,-1.065123307E1,1.642095499E0,1.190139416E1
2.900765292E0,-5.136926301E0,-9.438970193E0,3.272159182E0,1.123339645E1
2.910732292E0,-5.020405326E0,-8.916789277E0,4.370353113E0,1.112715539E1
2.920700292E0,-4.841117415E0,-7.969288327E0,4.673482712E0,1.043012056E1
2.930667292E0,-5.270297197E0,-7.553399851E0,4.562293229E0,1.027834624E1
2.940634292E0,-6.244522262E0,-7.331437790E0,3.794696778E0,1.035102710E1
2.950601292E0,-7.097523437E0,-6.723784030E0,3.502802019E0,1.038526517E1
2.960568292E0,-7.244034196E0,-6.441997352E0,2.884918847E0,1.011425321E1
2.970535292E0,-6.860450417E0,-6.135120272E0,2.035414599E0,9.425942566E0
2.980503292E0,-6.565232100E0,-5.836069690E0,1.648989658E0,8.937625459E0
2.990470292E0,-7.190901132E0,-5.680584040E0,6.943346393E-1,9.190222778E0
3.000437292E0,-8.054292809E0,-5.641662633E0,-3.991821036E-1,9.841714092E0
3.010404292E0,-9.197665544E0,-5.761992484E0,-5.788249406E-1,1.086888436E1
3.020371292E0,-1.007825388E1,-5.922831845E0,-4.162077338E-2,1.168986188E1
3.030338292E0,-1.015627328E1,-6.579513339E0,2.981860712E-1,1.210490800E1
3.040306292E0,-1.082492929E1,-7.472730494E0,5.224533963E-1,1.316410850E1
3.050273292E0,-1.189472534E1,-8.254987961E0,1.076198460E0,1.451852335E1
3.060240292E0,-1.273018604E1,-8.881824097E0,2.240856229E0,1.568329916E1
3.070207292E0,-1.287111095E1,-9.263516886E0,3.737884646E0,1.629263710E1
3.080174292E0,-1.254013515E1,-1.016492833E1,4.582721646E0,1.678040808E1
3.090141292E0,-1.246439851E1,-1.121007837E1,5.248423347E0,1.756624703E1
3.100109292E0,-1.189420494E1,-1.218460807E1,5.674968374E0,1.794831610E1
3.110076292E0,-1.119186780E1,-1.334039444E1,5.678898872E0,1.831594718E1
3.120043292E0,-1.102941577E1,-1.429677673E1,5.595802921E0,1.890393736E1
3.130010292E0,-1.067669535E1,-1.513940495E1,5.552931721E0,1.933981532E1
3.139977292E0,-9.865088958E0,-1.586405038E1,5.723161125E0,1.953823554E1
3.149944292E0,-8.646005305E0,-1.657301358E1,5.755561132E0,1.955874922E1
3.159912292E0,-8.153207232E0,-1.719378090E1,5.524511329E0,1.981466919E1
3.169879292E0,-7.693145381E0,-1.772070390E1,5.192222834E0,2.000417483E1
3.179846292E0,-7.121574204E0,-1.848429063E1,4.699659820E0,2.035860068E1
3.189813292E0,-6.427255937E0,-1.950427659E1,4.544662997E0,2.103284065E1
3.199780292E0,-5.692045167E0,-1.998286651E1,4.926944600E0,2.135390164E1
3.209747292E0,-4.502863006E0,-2.053445307E1,5.242587826E0,2.166620099E1
3.219715292E0,-2.738149348E0,-2.190935801E1,5.040919697E0,2.264792047E1
3.229682292E0,-2.146628056E0,-2.273447732E1,5.233166792E0,2.342755868E1
3.239649292E0,-2.309596388E0,-2.338352059E1,5.868538109E0,2.421906295E1
3.249616292E0,-1.621523532E0,-2.476456744E1,4.400764189E0,2.520475877E1
